"film_id","year","length","budget","votes","genre","rating"
49834,1963,107,11.4,225,"Romance",3.1
53923,1984,NA,9.7,59,"Comedy",2.3
30020,1992,32,15.4,6,"Documentary",7.7
46364,2000,NA,11.5,69,"Action",2.3
19967,1964,87,9.4,34,"Comedy",5.5
41873,2003,95,13.3,22,"Action",4.9
39319,1983,96,9.6,10,"Drama",2.9
42809,1989,92,12,200,"Action",4.2
32883,1940,81,16,7,"Drama",5.3
47313,1906,8,11,5,"Drama",7.7
10432,1995,125,12.7,21,"Drama",3.8
31043,1980,97,10.6,71,"Comedy",8.2
36926,1940,10,9.1,6,"Documentary",8
4123,1959,95,11.7,19,"Comedy",8.7
53837,1988,104,14.8,892,"Drama",4.5
1363,2001,75,12.8,16,"Animation",2.6
37854,1940,68,6.3,28,"Drama",3.6
58512,1969,80,5.1,66,"Drama",3.9
14343,1997,52,9.5,5,"Documentary",7.4
26827,1990,6,14.6,7,"Animation",8.3
3963,1994,93,15.3,79,"Drama",3.8
34071,2000,20,11,5,"Short",8.4
47671,1949,6,16.2,13,"Animation",8.6
37139,2002,97,8.8,231,"Comedy",2.7
33357,2003,143,12.2,443,"Drama",4.3
45861,1968,90,9.8,6,"Drama",3.3
56158,1950,71,7.3,44,"Comedy",3.4
31347,1915,11,8.7,8,"Comedy",7.8
42429,1984,97,17.7,147,"Action",8.6
47452,1963,76,7.2,167,"Action",3.4
24142,1970,77,15.5,8,"Comedy",7.8
25464,1999,157,9.8,28780,"Drama",4.5
16743,1998,87,6.8,35,"Comedy",3.1
4874,1982,90,13.6,24,"Drama",3
6223,1976,NA,8.6,104,"Drama",3.2
24671,1955,8,9.7,7,"Animation",2
51042,1967,78,20.6,14,"Drama",7.8
50433,2004,96,13.5,108,"Comedy",4
15391,1983,5,14.1,31,"Animation",7.9
55788,1988,288,8.3,126,"Drama",3.4
54338,1989,80,13.1,36,"Documentary",8.3
44911,1981,83,9.3,50,"Action",1.4
57445,2003,97,10.7,43,"Action",4.2
50832,2001,70,14.5,48,"Drama",3.6
14155,1969,107,10.8,61,"Action",4.2
9423,1977,93,11,50,"Comedy",7.5
37985,2002,28,13.1,8,"Documentary",8.1
13851,2004,NA,6.8,14,"Documentary",5.1
29408,1994,75,10.7,16,"Comedy",8.3
16015,1994,109,8.2,435,"Documentary",5.7
21994,2000,110,9.1,1440,"Comedy",4.8
37814,1958,85,12.5,25,"Comedy",7.7
50386,1960,80,13.7,69,"Action",3.8
37916,1966,91,12.6,829,"Action",2.6
37968,1996,106,12.4,16,"Action",5.3
40615,1985,97,11.8,5022,"Comedy",8.2
56856,1989,47,14.1,27,"Action",4.6
56100,1973,99,14.5,46,"Drama",2.8
19410,2001,87,5.4,37,"Drama",4
11118,1999,93,10.1,404,"Comedy",3.9
18997,1960,94,16,10,"Comedy",8.5
